video_id,creator_id,category,language,upload_date,duration_sec,has_hashtags,is_verified_creator
V00045,C0199,Gaming,English,2025-05-04,171,0,0
V00046,C0956,Comedy,Spanish,2025-03-10,15,1,0
V00047,C0323,Technology,Hindi,2025-06-13,77,0,0
V00048,C0536,Food,Hindi,2025-03-25,145,0,0
V00049,C0739,Technology,English,2025-04-29,161,1,0
V00050,C0847,Music,Hindi,2025-06-28,46,1,0
V00051,C0347,Food,Spanish,2025-05-07,77,1,0
V00052,C0939,Gaming,Spanish,2025-06-16,168,1,0
V00053,C0449,Fashion,English,2025-02-22,25,0,0
V00054,C0615,Music,English,2025-03-07,80,0,0
V00055,C0456,Food,English,2025-02-22,85,1,0
V00056,C0435,Music,English,2025-02-21,101,1,0
V00057,C0086,Sports,Portuguese,2025-06-05,168,1,0
V00058,C0092,News,English,2025-01-20,60,0,0
V00059,C0361,Sports,Hindi,2025-02-19,110,1,0
V00060,C0459,Comedy,Spanish,2025-05-08,25,0,0
V00061,C0035,Technology,English,2025-04-24,62,1,0
V00062,C0158,Gaming,English,2025-03-17,92,1,0
V00063,C0245,Music,English,2025-03-31,104,0,1
V00064,C0816,Music,Portuguese,2025-05-31,92,1,0
V00065,C0840,Comedy,Hindi,2025-05-12,118,1,0
V00066,C0544,Gaming,Spanish,2025-05-26,180,1,0
V00067,C0146,News,English,2025-02-16,89,0,0
V00068,C0782,Music,English,2025-05-23,22,1,0
V00069,C0719,Comedy,English,2025-05-11,157,1,0
V00070,C0447,Education,English,2025-04-25,174,0,0
V00071,C0601,Travel,English,2025-05-30,177,0,0
V00072,C0417,Food,English,2025-02-07,102,0,0
V00073,C0436,Music,English,2025-04-11,114,1,1
V00074,C0769,Food,English,2025-03-07,72,1,0
V00075,C0185,Music,English,2025-05-12,112,1,0
V00076,C0290,Education,Japanese,2025-05-15,20,1,0
V00077,C0044,Music,English,2025-02-04,79,0,1
V00078,C0150,Education,Hindi,2025-03-02,144,0,0
V00079,C0299,Fashion,Hindi,2025-04-17,35,1,0
V00080,C0539,Travel,Spanish,2025-01-03,159,1,0
V00081,C0899,Music,English,2025-05-11,106,1,0
V00082,C0463,Music,Japanese,2025-01-02,77,1,0
V00083,C0995,Education,Japanese,2025-06-11,112,1,0
V00084,C0056,News,Spanish,2025-01-14,63,1,0
V00085,C0518,News,Spanish,2025-01-03,84,0,0
V00086,C0276,Music,Spanish,2025-03-21,14,1,0
V00087,C0381,Food,English,2025-01-19,78,0,0
V00088,C0800,Sports,English,2025-04-12,72,1,0
V00089,C0974,Education,English,2025-01-21,34,1,0
V00090,C0878,Gaming,English,2025-05-14,82,1,0
V00091,C0821,Gaming,Spanish,2025-03-28,140,1,0
V00092,C0899,Comedy,Spanish,2025-03-10,118,0,0
V00093,C0030,Travel,Hindi,2025-02-12,66,0,0
V00094,C0721,Travel,Hindi,2025-05-21,102,0,0
V00095,C0781,News,Spanish,2025-02-25,17,0,0
V00096,C0186,Education,Hindi,2025-02-18,71,1,0
V00097,C1000,Sports,Spanish,2025-02-07,144,0,0
V00098,C0949,Music,English,2025-01-07,65,0,0
V00099,C0009,Fashion,English,2025-01-05,115,1,0
V00100,C0938,Food,Japanese,2025-05-01,109,1,1
V00101,C0800,Technology,Japanese,2025-01-18,123,1,0
V00102,C0568,Comedy,Hindi,2025-01-12,89,1,0
V00103,C0600,Music,Hindi,2025-04-26,77,1,0
V00104,C0007,Gaming,English,2025-05-08,156,1,0
V00105,C0587,Music,Spanish,2025-06-23,20,1,0
V00106,C0399,Travel,English,2025-06-12,163,0,0
V00107,C0068,Gaming,English,2025-02-12,31,1,0
V00108,C0065,Music,Spanish,2025-04-27,151,1,0
V00109,C0989,News,Spanish,2025-05-04,40,1,0
V00110,C0199,Fashion,English,2025-01-24,55,0,0
V00111,C0955,News,English,2025-05-18,97,0,0
V00112,C0654,News,Hindi,2025-01-24,116,1,0
V00113,C0493,Gaming,English,2025-01-17,127,0,0
V00114,C0798,Comedy,Japanese,2025-06-16,34,1,0
V00115,C0171,Music,Hindi,2025-04-28,31,1,0
V00116,C0626,Gaming,Hindi,2025-01-26,86,0,0
V00117,C0104,Gaming,English,2025-03-15,163,1,0
V00118,C0708,Music,Spanish,2025-05-08,46,0,0
V00119,C0852,Gaming,Hindi,2025-05-29,140,1,0
V00120,C0113,Comedy,Hindi,2025-06-24,12,0,0
V00121,C0707,Gaming,English,2025-05-06,124,0,0
V00122,C0947,Education,Japanese,2025-04-20,42,1,0
V00123,C0774,Education,English,2025-06-05,148,0,0
V00124,C0106,Sports,English,2025-02-05,109,0,0
V00125,C0763,Technology,English,2025-06-23,26,1,1
V00126,C0275,Food,Japanese,2025-01-22,123,1,0
V00127,C0208,Comedy,English,2025-05-16,60,1,0
V00128,C0412,Comedy,Spanish,2025-02-05,128,1,0
V00129,C0800,Comedy,Hindi,2025-02-19,156,1,0
V00130,C0237,Food,English,2025-02-27,78,1,0
V00131,C0657,Travel,English,2025-04-01,141,0,0
V00132,C0678,Gaming,Spanish,2025-05-09,155,1,0
V00133,C0218,Sports,English,2025-01-15,140,0,0
V00134,C0562,Music,Portuguese,2025-05-05,86,1,0
V00135,C0258,News,English,2025-03-30,136,1,0
V00136,C0348,Education,English,2025-06-29,143,1,0
V00137,C0079,Music,English,2025-02-23,175,1,0
V00138,C0134,Food,Portuguese,2025-05-30,61,0,0
V00139,C0209,Music,English,2025-03-24,111,1,0
V00140,C0533,Comedy,Hindi,2025-05-15,89,1,0
V00141,C0062,Travel,English,2025-06-25,143,1,0
V00142,C0240,Sports,Hindi,2025-05-10,156,0,1
V00143,C0488,News,Hindi,2025-05-30,75,0,0
V00144,C0847,Travel,Hindi,2025-05-30,120,1,0
V00145,C0809,News,English,2025-03-04,140,1,1
V00146,C0589,Comedy,English,2025-02-19,83,1,0
V00147,C0156,Fashion,English,2025-02-01,180,0,0
V00148,C0362,Sports,English,2025-06-01,66,1,0
V00149,C0859,Gaming,English,2025-01-15,19,1,0
V00150,C0267,Sports,English,2025-02-23,174,0,0
V00151,C0508,Comedy,English,2025-05-31,22,1,1
V00152,C0053,Gaming,Japanese,2025-01-13,105,0,0
V00153,C0496,Travel,English,2025-03-16,139,0,0
V00154,C0133,News,Spanish,2025-03-17,125,1,0
V00155,C0470,Comedy,English,2025-03-06,175,0,0
V00156,C0706,Fashion,Hindi,2025-01-12,174,1,0
V00157,C0065,Travel,Hindi,2025-02-20,149,1,0
V00158,C0821,Music,Spanish,2025-06-07,32,1,0
V00159,C0123,Education,Japanese,2025-02-21,45,1,0
V00160,C0531,Music,Hindi,2025-02-04,128,1,0
V00161,C0081,Sports,English,2025-03-27,55,0,1
V00162,C0051,Technology,English,2025-01-14,134,0,1
V00163,C0585,Travel,English,2025-04-06,177,1,0
V00164,C0348,Technology,English,2025-02-08,24,1,0
V00165,C0005,Fashion,Japanese,2025-04-29,26,0,0
V00166,C0868,Music,English,2025-03-18,46,0,0
V00167,C0301,Music,Hindi,2025-02-04,139,1,0
V00168,C0434,Comedy,English,2025-05-06,80,1,0
V00169,C0995,Comedy,Spanish,2025-04-06,104,0,0
V00170,C0719,Fashion,English,2025-01-22,169,1,0
V00171,C0167,Fashion,English,2025-01-28,23,0,0
V00172,C0238,Music,Portuguese,2025-04-15,74,0,0
V00173,C0448,Music,English,2025-05-30,161,1,0
V00174,C0515,Comedy,Hindi,2025-03-25,61,1,0
V00175,C0534,Gaming,English,2025-02-12,161,1,0
V00176,C0949,Education,Spanish,2025-04-30,73,1,0
V00177,C0289,Education,Japanese,2025-05-05,145,0,0
V00178,C0702,Gaming,English,2025-01-21,143,1,0
V00179,C0222,Music,English,2025-06-27,135,1,0
V00180,C0567,Education,Hindi,2025-03-27,67,1,0
V00181,C0863,Education,English,2025-05-19,62,0,0
V00182,C0382,News,English,2025-02-20,82,1,0
V00183,C0706,Music,English,2025-01-21,59,1,0
V00184,C0944,Music,Japanese,2025-01-07,168,1,0
V00185,C0816,Technology,Spanish,2025-01-15,86,1,0
V00186,C0285,Food,English,2025-01-14,130,0,0
V00187,C0565,Education,Hindi,2025-04-21,136,0,0
V00188,C0705,Sports,English,2025-05-22,80,0,0
V00189,C0769,News,English,2025-02-18,165,1,0
V00190,C0379,Music,English,2025-05-31,63,1,0
V00191,C0932,Food,Portuguese,2025-03-28,61,1,0
V00192,C0281,Gaming,Hindi,2025-01-04,40,1,0
V00193,C0930,Gaming,Japanese,2025-06-24,84,1,0
V00194,C0248,Sports,English,2025-04-07,21,1,1
V00195,C0148,News,Spanish,2025-01-29,140,1,0
V00196,C0763,News,English,2025-05-07,134,0,0
V00197,C0590,Sports,Hindi,2025-05-05,165,1,0
V00198,C0680,Music,English,2025-01-01,136,1,0
V00199,C0854,Education,Portuguese,2025-01-08,119,0,0
V00200,C0390,Gaming,English,2025-05-10,27,1,0
V00201,C0586,Gaming,Hindi,2025-03-17,38,1,1
V00202,C0684,Music,Hindi,2025-02-21,82,0,0
V00203,C0817,Travel,Spanish,2025-01-30,36,1,0
V00204,C0014,Sports,English,2025-05-16,94,1,0
V00205,C0166,Education,English,2025-03-06,108,1,0
V00206,C0041,Comedy,Spanish,2025-06-25,35,1,0
V00207,C0959,Gaming,English,2025-03-17,122,1,0
V00208,C0473,Education,Spanish,2025-04-22,11,1,0
V00209,C0319,Education,English,2025-01-01,178,1,0
V00210,C0737,Comedy,Spanish,2025-04-11,84,1,0
V00211,C0066,Sports,English,2025-05-18,72,1,0
V00212,C0134,Education,English,2025-05-30,128,0,1
V00213,C0467,Music,English,2025-04-06,151,1,0
V00214,C0141,Travel,Spanish,2025-04-03,135,0,0
V00215,C0099,Gaming,Japanese,2025-03-26,149,1,0
V00216,C0793,Food,English,2025-03-20,122,1,0
V00217,C0850,Education,Hindi,2025-06-13,176,1,0
V00218,C0568,Music,Spanish,2025-05-22,60,0,1
V00219,C0868,Gaming,Japanese,2025-06-01,52,1,0
V00220,C0183,Comedy,Spanish,2025-06-07,134,1,0
V00221,C0247,Sports,English,2025-06-02,170,1,1
V00222,C0882,Comedy,Portuguese,2025-01-14,180,1,0
V00223,C0413,Music,Spanish,2025-04-15,11,1,0
V00224,C0611,Fashion,Spanish,2025-02-13,153,1,1
V00225,C0110,Gaming,English,2025-01-01,120,1,0
V00226,C0088,Food,English,2025-03-16,54,1,0
V00227,C0189,Sports,Hindi,2025-05-14,118,1,0
V00228,C0110,Comedy,English,2025-06-08,66,1,0
V00229,C0436,Comedy,English,2025-06-01,32,1,0
V00230,C0190,Fashion,English,2025-04-04,14,1,0
V00231,C0961,Technology,Hindi,2025-01-24,25,0,1
V00232,C0146,Music,English,2025-04-21,170,1,0
V00233,C0699,Technology,English,2025-04-14,42,0,1
V00234,C0080,Comedy,Portuguese,2025-03-11,79,1,0
V00235,C0049,Travel,Spanish,2025-03-06,18,1,0
V00236,C0069,Gaming,Spanish,2025-05-13,39,1,1
V00237,C0823,Sports,English,2025-02-28,26,0,0
V00238,C0899,Music,Spanish,2025-03-19,87,1,0
V00239,C0743,Technology,English,2025-01-11,29,1,0
V00240,C0516,Education,Spanish,2025-05-03,94,1,0
V00241,C0405,Education,English,2025-05-06,154,1,0
V00242,C0572,Comedy,Hindi,2025-01-18,34,1,0
V00243,C0505,Fashion,Japanese,2025-03-12,163,1,0
V00244,C0114,Music,English,2025-04-14,147,1,0
V00245,C0807,Education,Spanish,2025-06-15,26,1,0
V00246,C0233,Technology,English,2025-03-08,71,1,0
V00247,C0837,Music,English,2025-01-16,68,0,0
V00248,C0309,News,Hindi,2025-06-13,168,0,0
V00249,C0784,Music,English,2025-03-31,179,0,0
V00250,C0014,Technology,Spanish,2025-05-28,157,0,0
V00251,C0564,Music,Spanish,2025-05-29,59,0,0
V00252,C0862,Music,English,2025-02-26,171,0,0
V00253,C0541,News,Hindi,2025-05-06,28,1,0
V00254,C0462,Education,Hindi,2025-02-09,15,1,0
V00255,C0484,Sports,Portuguese,2025-02-04,43,0,0
V00256,C0060,Technology,Spanish,2025-04-18,36,0,0
V00257,C0797,Travel,English,2025-01-08,131,1,0
V00258,C0358,Music,English,2025-03-16,46,0,1
V00259,C0638,Technology,Hindi,2025-05-09,15,1,0
V00260,C0884,Food,Hindi,2025-02-07,39,0,0
V00261,C0001,Comedy,Hindi,2025-02-28,72,1,0
V00262,C0323,Comedy,English,2025-05-16,144,1,0
V00263,C0314,Music,Hindi,2025-03-17,81,1,0
V00264,C0410,Sports,English,2025-06-24,65,1,0
V00265,C0600,News,Hindi,2025-01-21,68,1,0
V00266,C0194,Music,Spanish,2025-05-03,167,1,0
V00267,C0327,Fashion,Japanese,2025-05-14,156,0,0
V00268,C0164,Education,Hindi,2025-03-11,126,1,0
V00269,C0633,Gaming,Portuguese,2025-04-05,115,1,0
V00270,C0024,Comedy,English,2025-01-17,39,1,0
V00271,C0934,Technology,Hindi,2025-06-21,138,1,0
V00272,C0554,Education,Hindi,2025-05-03,128,1,0
V00273,C0868,Gaming,Hindi,2025-03-27,71,1,1
V00274,C0798,Education,Hindi,2025-05-23,91,1,1
V00275,C0811,Comedy,Hindi,2025-02-06,116,0,0
V00276,C0027,Gaming,Spanish,2025-01-28,114,0,0
V00277,C0004,Sports,Japanese,2025-01-07,10,1,0
V00278,C0959,Technology,English,2025-02-07,103,0,0
V00279,C0883,Education,Spanish,2025-01-05,162,1,0
V00280,C0573,Music,English,2025-05-20,12,1,0
V00281,C0028,Music,English,2025-04-26,40,1,0
V00282,C0971,Comedy,English,2025-02-16,44,1,0
V00283,C0649,Education,English,2025-04-05,155,0,0
V00284,C0230,Technology,English,2025-03-17,24,1,0
V00285,C0338,Comedy,Portuguese,2025-01-13,119,1,1
V00286,C0541,Sports,Spanish,2025-06-03,21,1,1
V00287,C0799,Education,Japanese,2025-04-15,85,0,0
V00288,C0124,Technology,Japanese,2025-05-05,101,1,0
V00289,C0102,Music,Spanish,2025-03-01,17,1,0
V00290,C0528,Music,Hindi,2025-04-08,121,1,0
V00291,C0084,Comedy,English,2025-04-14,37,0,0
V00292,C0415,News,English,2025-06-11,133,1,0
V00293,C0436,Food,Hindi,2025-06-07,136,1,0
V00294,C0748,Travel,English,2025-03-29,163,0,0
V00295,C0377,Comedy,English,2025-01-04,162,1,0
V00296,C0961,Technology,English,2025-01-08,174,0,0
V00297,C0714,Comedy,Portuguese,2025-03-07,63,1,0
V00298,C0113,Comedy,Japanese,2025-01-11,172,1,0
V00299,C0525,Music,Japanese,2025-03-07,94,0,1
V00300,C0634,Comedy,Spanish,2025-06-02,114,1,0
V00301,C0420,Sports,Japanese,2025-05-21,31,1,0
V00302,C0817,Technology,Portuguese,2025-01-09,106,0,0
V00303,C0666,Food,English,2025-03-20,100,1,1
V00304,C0462,Sports,English,2025-01-23,60,1,0
V00305,C0491,News,English,2025-02-11,117,1,1
V00306,C0561,News,English,2025-06-06,179,1,0
V00307,C0063,Music,Hindi,2025-05-07,95,1,0
V00308,C0608,Gaming,English,2025-05-10,140,1,0
V00309,C0322,Technology,English,2025-04-12,73,1,0
V00310,C0863,Music,Spanish,2025-03-31,27,1,0
V00311,C0207,Music,English,2025-05-12,62,1,0
V00312,C0337,Fashion,English,2025-06-18,10,1,0
V00313,C0404,Technology,Hindi,2025-06-19,144,1,0
V00314,C0137,Music,Japanese,2025-04-15,114,1,0
V00315,C0696,Music,Portuguese,2025-01-29,136,1,0
V00316,C0045,Comedy,English,2025-05-24,169,1,0
V00317,C0268,Sports,English,2025-04-23,41,0,0
V00318,C0109,Gaming,English,2025-02-15,109,1,0
V00319,C0467,Comedy,English,2025-06-29,145,1,0
V00320,C0887,Fashion,English,2025-01-14,116,1,0
V00321,C0291,Music,Spanish,2025-01-08,158,1,1
V00322,C0846,Education,Hindi,2025-05-23,125,1,0
V00323,C0425,Education,English,2025-01-28,30,0,0
V00324,C0566,Travel,English,2025-04-05,173,0,1
V00325,C0361,Education,Portuguese,2025-05-07,44,1,0
V00326,C0946,News,Spanish,2025-01-04,169,1,0
V00327,C0388,Education,English,2025-04-02,161,0,0
V00328,C0173,Technology,Hindi,2025-06-26,157,1,0
V00329,C0181,Music,English,2025-06-28,31,0,0
V00330,C0221,News,English,2025-05-01,174,0,0
V00331,C0423,Education,Portuguese,2025-01-09,83,0,0
V00332,C0145,Education,English,2025-02-17,131,1,0
V00333,C0193,Music,English,2025-05-17,125,1,0
V00334,C0930,Sports,Portuguese,2025-05-06,79,1,0
V00335,C0554,Music,English,2025-01-26,126,1,1
V00336,C0071,Fashion,English,2025-01-03,149,1,0
V00337,C0498,Comedy,Japanese,2025-02-03,161,0,0
V00338,C0279,Music,Hindi,2025-05-03,153,1,0
V00339,C0963,Technology,English,2025-01-10,20,0,0
V00340,C0599,Food,Japanese,2025-06-25,92,0,0
V00341,C0278,News,Hindi,2025-03-01,39,1,1
V00342,C0238,News,English,2025-06-09,152,1,1
V00343,C0811,Gaming,English,2025-06-04,72,1,0
V00344,C0654,Education,Spanish,2025-01-19,91,1,0
V00345,C0582,Gaming,English,2025-03-30,35,1,0
V00346,C0349,Gaming,English,2025-04-29,138,1,0
V00347,C0598,Travel,Spanish,2025-02-03,89,1,0
V00348,C0846,Music,Japanese,2025-06-12,39,1,0
V00349,C0005,Technology,Spanish,2025-04-25,112,1,0
V00350,C0433,Comedy,English,2025-01-13,64,1,0
V00351,C0245,Education,English,2025-06-08,111,1,0
V00352,C0953,Food,English,2025-06-08,153,1,0
V00353,C0141,Sports,English,2025-01-21,88,1,0
V00354,C0293,Gaming,Japanese,2025-01-23,167,1,0
V00355,C0356,News,Portuguese,2025-04-07,25,1,1
V00356,C0466,Sports,English,2025-04-26,161,1,0
V00357,C0562,Comedy,English,2025-06-05,130,0,1
V00358,C0860,Technology,English,2025-04-30,59,0,0
V00359,C0612,News,Spanish,2025-02-12,71,0,0
V00360,C0128,Fashion,Portuguese,2025-01-13,138,1,0
V00361,C0083,Food,Japanese,2025-06-06,81,0,0
V00362,C0057,Technology,English,2025-02-09,46,1,0
V00363,C0745,Food,English,2025-03-24,67,1,0
V00364,C0981,Travel,Portuguese,2025-03-07,91,1,0
V00365,C0608,Music,Japanese,2025-06-07,83,0,0
V00366,C0142,Music,English,2025-06-12,132,1,0
V00367,C0658,Music,English,2025-05-24,70,1,0
V00368,C0792,Fashion,Spanish,2025-05-12,65,1,0
V00369,C0457,Sports,English,2025-03-20,176,0,0
V00370,C0363,Education,English,2025-03-04,79,1,1
V00371,C0468,Music,Hindi,2025-01-24,139,0,0
V00372,C0749,Technology,Spanish,2025-05-13,157,0,0
V00373,C0296,Travel,Portuguese,2025-04-22,46,1,0
V00374,C0175,Gaming,Japanese,2025-04-17,101,0,0
V00375,C0165,Comedy,Spanish,2025-01-27,68,1,0
V00376,C0226,Gaming,Spanish,2025-03-04,168,1,0
V00377,C0842,Technology,English,2025-06-12,69,1,0
V00378,C0377,Technology,English,2025-06-04,99,1,0
V00379,C0609,Music,English,2025-02-11,88,1,0
V00380,C0926,Food,Japanese,2025-05-29,135,1,0
V00381,C0168,Technology,English,2025-01-09,74,1,0
V00382,C0690,Sports,Japanese,2025-04-26,124,1,0
V00383,C0887,Music,Hindi,2025-02-03,33,1,0
V00384,C0923,Comedy,Portuguese,2025-03-07,109,1,0
V00385,C0881,Fashion,English,2025-01-13,107,1,0
V00386,C0456,Fashion,Portuguese,2025-01-24,18,1,0
V00387,C0889,Education,English,2025-02-23,175,1,0
V00388,C0931,Music,Japanese,2025-01-28,69,1,0
V00389,C0648,Food,English,2025-05-28,14,1,0
V00390,C0565,Music,Spanish,2025-03-22,24,0,0
V00391,C0267,Comedy,Portuguese,2025-02-02,122,1,0
V00392,C0025,News,Hindi,2025-05-16,42,1,1
V00393,C0966,Education,Japanese,2025-03-13,148,0,0
V00394,C0646,Education,Japanese,2025-04-18,111,1,0
V00395,C0893,News,Spanish,2025-02-02,174,1,0
V00396,C0769,Education,Hindi,2025-03-27,115,0,0
V00397,C0553,Sports,English,2025-02-17,162,0,0
V00398,C0464,Music,English,2025-06-29,35,1,0
V00399,C0780,Sports,Spanish,2025-04-24,30,1,1
V00400,C0634,News,English,2025-01-08,176,1,0
V00401,C0328,Comedy,Hindi,2025-01-26,47,0,0
V00402,C0132,Gaming,English,2025-01-20,84,0,0
V00403,C0196,Fashion,Spanish,2025-06-03,24,1,1
V00404,C0249,Travel,Spanish,2025-06-14,111,0,0
V00405,C0207,Music,Hindi,2025-05-03,110,0,0
V00406,C0073,Technology,Spanish,2025-04-29,106,1,0
V00407,C0783,Comedy,English,2025-03-15,33,0,0
V00408,C0849,Food,Spanish,2025-06-01,74,0,0
V00409,C0620,Fashion,English,2025-01-31,116,0,0
V00410,C0610,Education,English,2025-01-04,159,1,0
V00411,C0004,Music,English,2025-06-20,57,1,1
V00412,C0014,Technology,Hindi,2025-04-05,146,1,0
V00413,C0195,Fashion,English,2025-01-16,78,1,0
V00414,C0903,Fashion,English,2025-01-02,103,1,0
V00415,C0661,Food,English,2025-01-02,51,1,1
V00416,C0895,Fashion,English,2025-02-04,138,0,0
V00417,C0244,Travel,English,2025-06-29,18,0,1
V00418,C0993,Gaming,Hindi,2025-01-18,153,1,0
V00419,C0730,Gaming,English,2025-05-18,173,1,1
V00420,C0371,Travel,English,2025-05-07,116,0,0
V00421,C0614,Education,Hindi,2025-04-26,154,1,1
V00422,C0961,Food,English,2025-06-22,18,1,0
V00423,C0975,Education,Spanish,2025-02-25,119,1,0
V00424,C0996,Comedy,Hindi,2025-03-22,89,1,1
V00425,C0745,Technology,Japanese,2025-05-15,171,1,0
V00426,C0220,Sports,Spanish,2025-06-06,71,1,1
V00427,C0911,Fashion,Spanish,2025-06-03,55,1,0
V00428,C0494,News,Portuguese,2025-05-31,60,1,0
V00429,C0797,Education,Japanese,2025-04-03,20,1,0
V00430,C0317,Technology,Japanese,2025-05-15,141,1,0
V00431,C0945,Travel,Japanese,2025-01-25,83,0,0
V00432,C0220,News,English,2025-02-10,28,1,0
V00433,C0525,Education,Spanish,2025-01-28,108,1,1
V00434,C0497,Music,English,2025-05-05,178,1,0
V00435,C0268,Gaming,English,2025-02-22,163,1,0
V00436,C0105,Technology,Spanish,2025-04-12,167,1,0
V00437,C0148,Gaming,Portuguese,2025-03-29,152,1,0
V00438,C0689,Music,Japanese,2025-03-22,96,1,0
V00439,C0281,News,English,2025-02-16,43,1,0
V00440,C0780,Comedy,English,2025-02-03,29,1,0
V00441,C0282,News,English,2025-04-29,11,1,0
V00442,C0803,Sports,English,2025-05-15,117,1,0
V00443,C0111,Food,English,2025-01-08,41,1,0
V00444,C0177,Comedy,Hindi,2025-04-26,70,0,0
V00445,C0525,News,Portuguese,2025-02-04,155,1,0
V00446,C0446,Gaming,English,2025-05-20,120,0,1
V00447,C0976,Music,Portuguese,2025-04-08,180,0,0
V00448,C0299,Travel,English,2025-04-29,171,1,0
V00449,C0905,Sports,Japanese,2025-01-18,119,1,0
V00450,C0980,Technology,Spanish,2025-05-02,174,0,0
V00451,C0708,Gaming,English,2025-06-10,87,0,0
V00452,C0942,Education,Hindi,2025-06-01,173,0,0
V00453,C0977,Music,Portuguese,2025-02-28,126,1,0
V00454,C0999,Travel,Japanese,2025-03-09,149,1,0
V00455,C0823,Music,English,2025-03-23,85,1,0
V00456,C0572,News,English,2025-01-01,37,1,0
V00457,C0524,Music,Japanese,2025-04-19,50,0,0
V00458,C0535,Comedy,Hindi,2025-02-15,77,1,0
V00459,C0972,Music,Spanish,2025-02-07,68,0,0
V00460,C0069,Food,Hindi,2025-01-23,96,0,0
V00461,C0138,Sports,Hindi,2025-04-13,156,1,0
V00462,C0827,Technology,English,2025-01-19,22,1,0
V00463,C0206,Comedy,Spanish,2025-05-01,128,1,1
V00464,C0029,Food,English,2025-03-12,32,0,0
V00465,C0185,Music,Hindi,2025-06-17,25,0,0
V00466,C0380,Sports,Japanese,2025-05-28,119,0,0
V00467,C0571,Comedy,English,2025-04-15,28,1,0
V00468,C0283,Travel,English,2025-04-09,109,1,0
V00469,C0278,Food,English,2025-02-12,172,1,0
V00470,C0034,Food,Japanese,2025-04-01,117,1,0
V00471,C0088,Comedy,English,2025-05-30,74,0,0
V00472,C0495,Comedy,English,2025-05-02,176,1,0
V00473,C0373,Comedy,Hindi,2025-05-09,122,0,0
V00474,C0505,Technology,Spanish,2025-02-10,11,1,0
V00475,C0935,Sports,English,2025-02-23,162,1,0
V00476,C0487,Sports,Spanish,2025-01-11,141,0,0
V00477,C0199,Fashion,Portuguese,2025-02-07,175,0,0
V00478,C0669,Music,English,2025-01-22,110,1,0
V00479,C0423,Comedy,Hindi,2025-06-04,19,1,1
V00480,C0253,Education,Japanese,2025-01-29,117,0,1
V00481,C0093,Education,Hindi,2025-05-14,123,1,0
V00482,C0621,Comedy,Portuguese,2025-06-13,174,1,1
V00483,C0344,Gaming,English,2025-06-26,26,1,0
V00484,C0193,News,English,2025-04-03,165,1,0
V00485,C0088,Sports,English,2025-04-07,153,1,0
V00486,C0903,Music,Spanish,2025-02-04,45,0,0
V00487,C0342,Education,English,2025-02-01,37,1,0
V00488,C0354,News,Japanese,2025-05-11,21,1,0
V00489,C0040,Education,English,2025-06-29,116,1,1
