user_id,signup_date,country,device,age_group,gender,acquisition_source,premium_user
U00042,2025-02-01,USA,Android,35-44,Male,Organic,0
U00043,2025-05-16,USA,Android,55+,Other,Organic,0
U00044,2025-03-24,USA,iOS,45-54,Female,Organic,0
U00045,2025-03-08,Germany,iOS,25-34,Other,Ads,1
U00046,2025-02-23,Germany,Android,35-44,Female,Organic,1
U00047,2025-01-31,USA,Android,18-24,Female,Ads,0
U00048,2025-02-11,UK,Android,25-34,Female,Ads,1
U00049,2025-05-29,India,Android,18-24,Female,Ads,0
U00050,2025-03-07,Australia,Android,25-34,Male,Organic,0
U00051,2025-01-20,Brazil,Android,45-54,Female,Organic,1
U00052,2025-01-19,India,iOS,35-44,Female,Referral,0
U00053,2025-03-15,USA,Android,35-44,Female,Organic,0
U00054,2025-01-19,USA,iOS,45-54,Female,Ads,0
U00055,2025-03-11,USA,iOS,18-24,Female,Ads,0
U00056,2025-06-14,Germany,Android,35-44,Male,Referral,0
U00057,2025-03-08,USA,iOS,25-34,Male,Ads,0
U00058,2025-04-28,USA,Android,18-24,Female,Referral,0
U00059,2025-02-21,UK,Android,55+,Female,Referral,1
U00060,2025-06-06,Japan,Android,55+,Male,Organic,0
U00061,2025-01-09,Australia,Android,25-34,Female,Organic,0
U00062,2025-05-22,USA,iOS,18-24,Female,Organic,0
U00063,2025-03-31,Australia,iOS,25-34,Male,Ads,0
U00064,2025-04-15,India,iOS,35-44,Male,Organic,0
U00065,2025-01-25,India,Android,18-24,Male,Referral,0
U00066,2025-06-29,Brazil,iOS,18-24,Female,Organic,0
U00067,2025-03-15,India,Android,35-44,Male,Organic,0
U00068,2025-01-16,India,iOS,35-44,Male,Organic,0
U00069,2025-04-18,UK,Android,35-44,Female,Ads,0
U00070,2025-02-26,USA,Android,18-24,Male,Ads,1
U00071,2025-06-11,India,iOS,18-24,Female,Organic,0
U00072,2025-05-03,UK,Android,35-44,Female,Organic,0
U00073,2025-05-01,USA,Web,25-34,Male,Organic,0
U00074,2025-06-21,India,iOS,35-44,Other,Organic,0
U00075,2025-06-17,Brazil,iOS,35-44,Female,Ads,0
U00076,2025-03-12,Brazil,iOS,25-34,Male,Organic,0
U00077,2025-04-23,Australia,Android,25-34,Male,Organic,0
U00078,2025-02-07,USA,Android,25-34,Male,Organic,0
U00079,2025-05-17,Australia,Android,25-34,Female,Organic,0
U00080,2025-01-14,India,iOS,25-34,Female,Referral,0
U00081,2025-01-09,India,Android,25-34,Female,Referral,0
U00082,2025-05-09,India,iOS,25-34,Female,Organic,0
U00083,2025-02-14,India,Android,18-24,Female,Organic,0
U00084,2025-05-31,India,Android,25-34,Male,Organic,0
U00085,2025-02-26,USA,iOS,18-24,Male,Organic,0
U00086,2025-01-16,USA,Android,35-44,Male,Ads,0
U00087,2025-06-16,USA,Android,18-24,Female,Referral,0
U00088,2025-02-15,UK,iOS,35-44,Female,Referral,0
U00089,2025-06-18,USA,Android,18-24,Female,Organic,0
U00090,2025-01-20,UK,iOS,18-24,Female,Ads,1
U00091,2025-03-15,Germany,Web,18-24,Male,Organic,0
U00092,2025-02-23,Japan,Android,35-44,Male,Ads,0
U00093,2025-03-30,USA,iOS,45-54,Female,Organic,0
U00094,2025-05-04,Germany,Android,25-34,Male,Organic,0
U00095,2025-06-11,Germany,iOS,18-24,Female,Ads,0
U00096,2025-03-12,Australia,Android,35-44,Female,Organic,0
U00097,2025-02-01,Canada,Android,25-34,Female,Organic,0
U00098,2025-03-13,Germany,Android,45-54,Male,Organic,0
U00099,2025-03-10,India,Android,45-54,Male,Organic,0
U00100,2025-02-10,India,iOS,35-44,Male,Organic,0
U00101,2025-05-11,USA,iOS,25-34,Female,Ads,0
U00102,2025-02-21,India,iOS,18-24,Male,Ads,0
U00103,2025-05-17,Canada,Android,25-34,Male,Ads,0
U00104,2025-05-13,Australia,Android,18-24,Male,Organic,1
U00105,2025-05-06,Canada,iOS,18-24,Male,Organic,0
U00106,2025-01-14,Japan,Android,18-24,Male,Organic,0
U00107,2025-04-29,USA,Android,25-34,Male,Referral,0
U00108,2025-05-04,UK,Android,45-54,Female,Referral,0
U00109,2025-02-03,India,Android,18-24,Male,Referral,0
U00110,2025-04-14,Germany,Android,18-24,Female,Organic,1
U00111,2025-05-22,Canada,Android,55+,Male,Ads,0
U00112,2025-02-17,Germany,Android,25-34,Male,Organic,0
U00113,2025-02-01,Japan,Android,25-34,Female,Ads,0
U00114,2025-03-31,USA,Android,35-44,Male,Organic,1
U00115,2025-03-15,USA,Android,25-34,Male,Organic,0
U00116,2025-02-22,Australia,Android,35-44,Female,Ads,0
U00117,2025-06-29,UK,iOS,25-34,Female,Ads,0
U00118,2025-05-05,Germany,Android,18-24,Male,Ads,0
U00119,2025-05-14,USA,Android,35-44,Female,Referral,0
U00120,2025-04-19,India,Android,18-24,Male,Organic,0
U00121,2025-02-12,USA,Web,45-54,Female,Referral,0
U00122,2025-05-13,UK,Android,18-24,Female,Organic,0
U00123,2025-03-04,Brazil,Android,25-34,Female,Organic,1
U00124,2025-06-13,India,Android,35-44,Female,Organic,0
U00125,2025-05-30,USA,iOS,35-44,Female,Organic,0
U00126,2025-05-31,India,Web,25-34,Female,Referral,0
U00127,2025-01-11,Canada,Android,18-24,Male,Ads,0
U00128,2025-02-14,Australia,Android,25-34,Female,Organic,0
U00129,2025-06-09,USA,Web,25-34,Male,Organic,0
U00130,2025-01-07,Canada,Android,55+,Female,Organic,1
U00131,2025-06-06,Germany,Android,35-44,Female,Organic,0
U00132,2025-03-03,Japan,Android,25-34,Male,Referral,0
U00133,2025-03-19,Brazil,iOS,18-24,Female,Organic,0
U00134,2025-02-21,Canada,iOS,18-24,Male,Organic,0
U00135,2025-01-13,India,Android,25-34,Male,Organic,0
U00136,2025-02-10,India,Android,18-24,Female,Organic,0
U00137,2025-06-27,Germany,Android,35-44,Female,Ads,0
U00138,2025-04-21,UK,iOS,55+,Female,Organic,0
U00139,2025-06-20,Canada,iOS,45-54,Male,Organic,0
U00140,2025-05-20,Australia,Android,35-44,Male,Organic,0
U00141,2025-03-03,India,iOS,25-34,Female,Referral,0
U00142,2025-02-11,India,Android,35-44,Female,Referral,1
U00143,2025-05-08,USA,iOS,45-54,Other,Ads,0
U00144,2025-04-07,USA,iOS,45-54,Male,Ads,0
U00145,2025-03-18,USA,iOS,18-24,Male,Organic,0
U00146,2025-06-21,Canada,iOS,18-24,Male,Referral,0
U00147,2025-06-27,USA,iOS,18-24,Male,Organic,0
U00148,2025-05-05,USA,iOS,45-54,Female,Organic,0
U00149,2025-03-31,India,Android,25-34,Male,Organic,0
U00150,2025-01-28,USA,Android,25-34,Male,Organic,0
U00151,2025-02-21,Japan,Android,55+,Female,Organic,0
U00152,2025-01-28,UK,iOS,18-24,Female,Organic,0
U00153,2025-02-17,USA,iOS,25-34,Male,Ads,0
U00154,2025-05-25,UK,iOS,35-44,Female,Ads,0
U00155,2025-04-20,UK,Android,25-34,Female,Ads,1
U00156,2025-04-15,USA,iOS,18-24,Male,Organic,0
U00157,2025-02-21,Canada,iOS,45-54,Male,Ads,0
U00158,2025-05-26,Germany,iOS,18-24,Male,Referral,1
U00159,2025-04-24,Japan,iOS,35-44,Female,Referral,0
U00160,2025-03-25,India,iOS,18-24,Female,Organic,0
U00161,2025-06-24,UK,Android,35-44,Female,Organic,0
U00162,2025-04-24,USA,iOS,25-34,Female,Organic,1
U00163,2025-03-19,Germany,iOS,18-24,Male,Organic,0
U00164,2025-03-12,India,Android,18-24,Female,Organic,0
U00165,2025-02-12,UK,iOS,45-54,Male,Ads,0
U00166,2025-01-27,India,Android,25-34,Male,Referral,1
U00167,2025-04-09,India,Android,55+,Female,Organic,0
U00168,2025-04-06,Canada,Web,25-34,Male,Organic,1
U00169,2025-01-18,Germany,Android,35-44,Female,Organic,1
U00170,2025-05-27,Germany,Android,18-24,Female,Organic,0
U00171,2025-01-10,USA,Android,45-54,Male,Organic,0
U00172,2025-06-17,USA,iOS,18-24,Male,Organic,0
U00173,2025-01-22,UK,Android,18-24,Female,Organic,0
U00174,2025-01-30,USA,Android,35-44,Female,Ads,0
U00175,2025-05-02,Germany,Android,18-24,Female,Referral,1
U00176,2025-02-01,Germany,iOS,25-34,Male,Referral,1
U00177,2025-06-03,India,Android,35-44,Female,Referral,1
U00178,2025-05-13,USA,iOS,18-24,Male,Ads,0
U00179,2025-03-23,India,Web,25-34,Male,Ads,1
U00180,2025-04-26,Australia,iOS,35-44,Female,Ads,0
U00181,2025-01-13,India,Android,18-24,Male,Organic,1
U00182,2025-03-16,India,iOS,25-34,Male,Referral,1
U00183,2025-03-16,Germany,Android,18-24,Female,Ads,0
U00184,2025-04-26,Canada,Android,18-24,Male,Organic,0
U00185,2025-04-01,Australia,iOS,35-44,Female,Ads,0
U00186,2025-04-13,Canada,Android,35-44,Male,Organic,0
U00187,2025-02-18,India,iOS,25-34,Female,Ads,0
U00188,2025-04-18,Germany,iOS,25-34,Male,Referral,0
U00189,2025-06-17,USA,Android,35-44,Male,Organic,1
U00190,2025-01-03,Brazil,Android,25-34,Male,Ads,1
U00191,2025-05-13,Australia,Android,25-34,Male,Organic,0
U00192,2025-05-20,Germany,Android,18-24,Male,Organic,0
U00193,2025-01-23,UK,Android,35-44,Male,Organic,0
U00194,2025-05-13,Australia,Android,25-34,Male,Ads,0
U00195,2025-06-21,UK,Android,25-34,Female,Organic,0
U00196,2025-04-15,USA,Android,18-24,Male,Organic,0
U00197,2025-05-26,USA,Android,35-44,Female,Ads,0
U00198,2025-02-21,USA,iOS,18-24,Male,Referral,0
U00199,2025-05-30,Canada,Android,35-44,Male,Organic,1
U00200,2025-05-05,India,iOS,25-34,Female,Referral,1
U00201,2025-03-08,Germany,Android,25-34,Female,Organic,0
U00202,2025-01-22,India,Android,18-24,Female,Organic,0
U00203,2025-02-26,Brazil,Android,35-44,Female,Ads,0
U00204,2025-03-26,USA,Android,25-34,Female,Ads,0
U00205,2025-01-31,Germany,Android,35-44,Female,Organic,0
U00206,2025-03-30,Canada,iOS,25-34,Female,Ads,0
U00207,2025-01-01,USA,Android,18-24,Male,Organic,0
U00208,2025-05-21,India,Android,18-24,Female,Organic,0
U00209,2025-06-20,Brazil,iOS,25-34,Male,Organic,0
U00210,2025-05-20,Brazil,Android,35-44,Female,Organic,0
U00211,2025-02-21,USA,Android,18-24,Female,Organic,0
U00212,2025-04-08,Canada,Android,18-24,Male,Organic,0
U00213,2025-05-28,USA,Android,18-24,Male,Organic,0
U00214,2025-02-04,Germany,iOS,18-24,Male,Ads,0
U00215,2025-04-09,Australia,iOS,45-54,Female,Organic,0
U00216,2025-06-27,USA,Android,55+,Female,Organic,0
U00217,2025-01-21,Brazil,Android,25-34,Female,Ads,0
U00218,2025-06-19,Germany,iOS,35-44,Female,Ads,0
U00219,2025-05-02,India,Android,18-24,Male,Referral,0
U00220,2025-02-27,USA,Android,18-24,Female,Organic,0
U00221,2025-06-13,Germany,iOS,18-24,Male,Ads,1
U00222,2025-05-05,India,Android,45-54,Female,Ads,0
U00223,2025-04-09,India,Android,35-44,Male,Organic,0
U00224,2025-04-29,Australia,Android,25-34,Male,Ads,0
U00225,2025-02-08,Germany,Android,45-54,Other,Organic,0
U00226,2025-01-30,India,Android,55+,Female,Ads,1
U00227,2025-03-14,USA,iOS,45-54,Female,Organic,0
U00228,2025-05-29,Brazil,Android,35-44,Male,Referral,1
U00229,2025-02-01,India,iOS,18-24,Male,Organic,1
U00230,2025-04-15,USA,Android,18-24,Other,Organic,1
U00231,2025-06-01,Brazil,iOS,25-34,Female,Organic,0
U00232,2025-06-29,Germany,iOS,18-24,Female,Organic,1
U00233,2025-04-13,USA,Android,45-54,Female,Ads,0
U00234,2025-06-28,USA,Android,18-24,Male,Organic,0
U00235,2025-01-01,India,Android,45-54,Female,Organic,0
U00236,2025-04-27,USA,Android,25-34,Female,Organic,0
U00237,2025-03-04,UK,Android,55+,Male,Organic,0
U00238,2025-04-05,Japan,Android,25-34,Male,Ads,0
U00239,2025-01-04,USA,Android,35-44,Male,Ads,0
U00240,2025-01-22,Germany,iOS,18-24,Male,Organic,0
U00241,2025-03-12,USA,iOS,25-34,Female,Ads,0
U00242,2025-06-20,USA,iOS,25-34,Male,Organic,0
U00243,2025-06-11,USA,iOS,25-34,Other,Organic,0
U00244,2025-06-06,Australia,Android,25-34,Female,Referral,0
U00245,2025-03-01,USA,Android,45-54,Female,Referral,0
U00246,2025-02-16,Japan,Android,25-34,Female,Organic,0
U00247,2025-01-12,Australia,Android,25-34,Female,Organic,0
U00248,2025-02-16,USA,iOS,18-24,Female,Organic,0
U00249,2025-06-20,India,Android,45-54,Male,Referral,0
U00250,2025-04-21,Japan,iOS,18-24,Female,Organic,0
U00251,2025-01-16,UK,Web,18-24,Female,Ads,1
U00252,2025-01-17,USA,iOS,25-34,Male,Organic,0
U00253,2025-05-23,UK,iOS,25-34,Female,Organic,0
U00254,2025-04-05,India,iOS,18-24,Male,Ads,0
U00255,2025-06-08,India,Android,18-24,Male,Organic,0
U00256,2025-01-14,USA,iOS,25-34,Male,Referral,0
U00257,2025-05-28,Brazil,Android,18-24,Female,Ads,0
U00258,2025-04-14,India,Android,25-34,Female,Referral,0
U00259,2025-05-29,Brazil,iOS,35-44,Female,Organic,0
U00260,2025-01-25,USA,iOS,18-24,Female,Organic,0
U00261,2025-01-25,Canada,iOS,18-24,Male,Referral,0
U00262,2025-05-09,Canada,iOS,35-44,Male,Referral,0
U00263,2025-04-03,India,iOS,18-24,Female,Ads,0
U00264,2025-04-17,USA,Web,25-34,Female,Organic,1
U00265,2025-02-02,USA,Android,18-24,Female,Organic,0
U00266,2025-02-21,Brazil,iOS,18-24,Female,Organic,1
U00267,2025-04-13,India,Android,25-34,Male,Referral,0
U00268,2025-06-19,UK,iOS,25-34,Female,Organic,0
U00269,2025-04-28,USA,Android,25-34,Female,Ads,0
U00270,2025-03-24,India,iOS,25-34,Female,Organic,0
U00271,2025-02-11,India,iOS,35-44,Male,Organic,1
U00272,2025-04-15,India,Android,18-24,Female,Organic,0
U00273,2025-05-27,Australia,iOS,55+,Male,Organic,0
U00274,2025-05-22,India,Android,18-24,Male,Organic,0
U00275,2025-05-14,India,iOS,18-24,Female,Organic,0
U00276,2025-02-09,Canada,Android,35-44,Female,Organic,0
U00277,2025-05-19,India,Android,45-54,Female,Referral,0
U00278,2025-03-02,India,Android,25-34,Female,Ads,0
U00279,2025-03-19,Canada,iOS,25-34,Female,Ads,0
U00280,2025-05-11,India,Android,25-34,Male,Organic,1
U00281,2025-05-07,Canada,iOS,18-24,Other,Ads,1
U00282,2025-03-14,Japan,Android,35-44,Male,Referral,0
U00283,2025-03-27,USA,Android,25-34,Male,Organic,0
U00284,2025-06-24,India,Android,25-34,Female,Organic,0
U00285,2025-04-11,USA,Web,35-44,Male,Organic,0
U00286,2025-03-29,Canada,iOS,18-24,Female,Organic,0
U00287,2025-01-24,Japan,Android,35-44,Female,Ads,1
U00288,2025-02-18,India,Web,35-44,Female,Organic,0
U00289,2025-02-13,Canada,Android,25-34,Female,Ads,1
U00290,2025-01-13,UK,Android,45-54,Male,Organic,0
U00291,2025-03-07,USA,iOS,25-34,Female,Referral,0
U00292,2025-01-05,Australia,Android,18-24,Male,Organic,0
U00293,2025-04-25,Canada,Android,18-24,Female,Organic,0
U00294,2025-04-18,Germany,iOS,25-34,Female,Ads,0
U00295,2025-02-14,USA,Android,18-24,Female,Organic,0
U00296,2025-04-25,USA,iOS,18-24,Male,Referral,0
U00297,2025-02-12,USA,Android,35-44,Male,Referral,0
U00298,2025-01-02,Japan,iOS,18-24,Male,Ads,0
U00299,2025-01-14,India,Android,25-34,Male,Organic,0
U00300,2025-05-18,UK,Android,25-34,Female,Organic,0
U00301,2025-05-03,Canada,iOS,18-24,Male,Ads,1
U00302,2025-01-12,Germany,Android,25-34,Female,Organic,0
U00303,2025-02-14,Brazil,Android,18-24,Female,Organic,0
U00304,2025-01-14,Brazil,Android,25-34,Female,Ads,0
U00305,2025-06-25,Brazil,Android,45-54,Male,Referral,0
U00306,2025-01-07,India,Android,45-54,Female,Referral,0
U00307,2025-06-16,USA,Android,18-24,Other,Organic,0
U00308,2025-03-06,Canada,Android,45-54,Female,Organic,0
U00309,2025-01-14,USA,Android,25-34,Male,Organic,0
U00310,2025-04-10,Germany,Android,35-44,Male,Referral,0
U00311,2025-02-16,Germany,Android,18-24,Female,Organic,1
U00312,2025-02-24,India,Android,18-24,Male,Ads,0
U00313,2025-05-10,India,iOS,18-24,Female,Ads,1
U00314,2025-04-05,USA,Android,25-34,Female,Referral,0
U00315,2025-02-11,India,Android,45-54,Male,Ads,0
U00316,2025-04-15,USA,Android,35-44,Female,Organic,0
U00317,2025-01-26,India,Android,35-44,Male,Organic,0
U00318,2025-05-21,Brazil,Android,25-34,Female,Organic,0
U00319,2025-06-21,USA,Android,25-34,Female,Organic,0
U00320,2025-04-21,Canada,Android,18-24,Female,Organic,0
U00321,2025-04-22,Germany,Android,25-34,Male,Organic,0
U00322,2025-04-02,Germany,iOS,25-34,Female,Ads,0
U00323,2025-02-17,USA,Android,18-24,Other,Referral,1
U00324,2025-06-02,Brazil,Android,25-34,Female,Ads,0
U00325,2025-04-02,UK,Android,55+,Male,Referral,0
U00326,2025-06-06,India,iOS,35-44,Female,Ads,0
U00327,2025-03-21,USA,Android,25-34,Female,Organic,1
U00328,2025-02-06,USA,Android,35-44,Female,Organic,0
U00329,2025-01-19,USA,Android,18-24,Female,Ads,1
U00330,2025-01-19,Germany,Android,35-44,Female,Organic,0
U00331,2025-05-08,USA,Android,25-34,Female,Organic,0
U00332,2025-03-25,India,Android,18-24,Female,Organic,0
U00333,2025-03-10,USA,iOS,35-44,Male,Organic,0
U00334,2025-03-24,India,Android,18-24,Female,Organic,0
U00335,2025-03-21,USA,iOS,45-54,Female,Ads,0
U00336,2025-04-01,India,Web,45-54,Female,Ads,0
U00337,2025-06-17,India,Android,25-34,Female,Organic,0
U00338,2025-05-22,India,iOS,35-44,Female,Organic,0
U00339,2025-01-11,Canada,Android,18-24,Male,Ads,0
U00340,2025-05-11,Germany,Android,35-44,Male,Organic,0
U00341,2025-05-07,UK,iOS,18-24,Female,Ads,0
U00342,2025-05-06,India,iOS,18-24,Female,Organic,0
U00343,2025-01-20,Japan,Android,55+,Male,Organic,0
U00344,2025-01-12,USA,iOS,25-34,Female,Organic,0
U00345,2025-03-20,India,Android,25-34,Female,Organic,0
U00346,2025-05-22,India,iOS,45-54,Male,Organic,0
U00347,2025-03-07,USA,Android,18-24,Female,Organic,0
U00348,2025-06-05,USA,Android,25-34,Female,Organic,0
U00349,2025-06-17,UK,Android,35-44,Female,Ads,0
U00350,2025-01-22,USA,iOS,18-24,Female,Organic,0
U00351,2025-02-18,Canada,iOS,18-24,Male,Ads,0
U00352,2025-02-07,UK,iOS,25-34,Female,Organic,0
U00353,2025-02-06,USA,Android,25-34,Female,Ads,0
U00354,2025-04-15,India,Android,18-24,Female,Organic,0
U00355,2025-03-29,USA,Web,18-24,Female,Ads,0
U00356,2025-01-28,Brazil,Android,18-24,Male,Organic,0
U00357,2025-03-23,Germany,Android,25-34,Male,Organic,0
U00358,2025-02-05,Japan,Android,35-44,Female,Ads,0
U00359,2025-02-24,Australia,Android,25-34,Female,Organic,1
U00360,2025-03-31,USA,Android,25-34,Female,Organic,0
U00361,2025-02-18,USA,Android,18-24,Male,Referral,0
U00362,2025-06-19,India,Android,18-24,Female,Referral,0
U00363,2025-06-29,USA,iOS,18-24,Female,Organic,0
U00364,2025-01-15,Australia,Android,18-24,Male,Organic,0
U00365,2025-03-28,India,iOS,18-24,Female,Organic,0
U00366,2025-06-06,Australia,Android,55+,Male,Organic,0
U00367,2025-06-17,India,iOS,55+,Male,Ads,1
U00368,2025-06-16,USA,Web,25-34,Male,Referral,0
U00369,2025-04-17,UK,iOS,18-24,Female,Ads,0
U00370,2025-01-20,USA,Android,35-44,Female,Ads,0
U00371,2025-01-10,USA,Android,18-24,Male,Organic,1
U00372,2025-05-07,USA,Android,25-34,Male,Organic,0
U00373,2025-04-15,USA,Android,18-24,Male,Organic,0
U00374,2025-06-12,USA,iOS,45-54,Female,Organic,0
U00375,2025-01-03,India,Android,18-24,Female,Organic,0
U00376,2025-01-19,India,Android,18-24,Male,Organic,0
U00377,2025-06-29,Canada,Android,18-24,Male,Referral,0
U00378,2025-05-27,UK,iOS,18-24,Male,Ads,0
U00379,2025-06-14,Japan,Android,18-24,Female,Organic,0
U00380,2025-02-15,Japan,Web,18-24,Female,Organic,0
U00381,2025-02-02,USA,Android,35-44,Male,Organic,0
U00382,2025-03-20,Canada,Android,35-44,Female,Referral,0
U00383,2025-04-05,Australia,Android,18-24,Female,Ads,0
U00384,2025-04-04,India,Android,25-34,Male,Ads,0
U00385,2025-02-11,Germany,Android,55+,Male,Organic,0
U00386,2025-06-17,Brazil,iOS,25-34,Female,Organic,0
U00387,2025-03-19,Canada,iOS,18-24,Female,Ads,0
U00388,2025-06-25,UK,Android,55+,Female,Organic,0
U00389,2025-01-12,Japan,Android,18-24,Male,Organic,0
U00390,2025-02-01,Canada,Android,25-34,Male,Ads,0
U00391,2025-03-15,Canada,Android,18-24,Male,Organic,0
U00392,2025-01-01,USA,iOS,18-24,Male,Organic,0
U00393,2025-03-17,India,Android,25-34,Female,Organic,0
U00394,2025-02-21,Germany,Android,45-54,Female,Ads,0
U00395,2025-06-29,Japan,Android,18-24,Male,Organic,0
U00396,2025-06-02,USA,Android,18-24,Female,Organic,1
U00397,2025-06-02,UK,Android,25-34,Male,Ads,0
U00398,2025-03-30,Australia,iOS,18-24,Male,Referral,0
U00399,2025-02-25,India,Android,18-24,Female,Organic,0
U00400,2025-03-24,Canada,iOS,25-34,Male,Ads,0
U00401,2025-05-16,Germany,iOS,18-24,Female,Organic,1
U00402,2025-05-22,USA,Android,18-24,Female,Organic,0
U00403,2025-06-02,USA,Android,18-24,Female,Ads,0
U00404,2025-04-18,Japan,Android,25-34,Male,Organic,0
U00405,2025-05-09,USA,Android,18-24,Male,Ads,0
U00406,2025-05-20,Canada,Android,35-44,Male,Ads,0
U00407,2025-04-05,USA,Android,35-44,Male,Organic,0
U00408,2025-01-31,USA,Android,35-44,Female,Organic,1
U00409,2025-02-06,USA,iOS,35-44,Male,Ads,1
U00410,2025-02-27,Australia,Android,55+,Male,Ads,0
U00411,2025-02-12,USA,Web,25-34,Male,Ads,0
U00412,2025-01-12,Japan,iOS,18-24,Female,Organic,0
U00413,2025-04-23,Australia,iOS,18-24,Male,Organic,0
U00414,2025-05-23,USA,Android,18-24,Female,Organic,0
U00415,2025-04-16,USA,Android,45-54,Other,Ads,1
U00416,2025-01-12,Japan,iOS,45-54,Other,Referral,1
U00417,2025-05-26,Brazil,Android,35-44,Female,Ads,0
U00418,2025-03-02,India,Android,18-24,Male,Organic,0
U00419,2025-01-12,Brazil,Android,25-34,Male,Referral,0
U00420,2025-01-10,Japan,Android,18-24,Female,Ads,0
U00421,2025-04-24,India,iOS,25-34,Male,Organic,0
U00422,2025-04-03,India,Android,18-24,Female,Organic,0
U00423,2025-04-08,Canada,Android,18-24,Female,Organic,1
U00424,2025-06-28,Germany,Android,18-24,Female,Organic,1
U00425,2025-06-15,Japan,Android,35-44,Male,Ads,0
U00426,2025-04-14,Brazil,Android,35-44,Male,Organic,0
U00427,2025-01-31,USA,Android,18-24,Female,Organic,0
U00428,2025-01-12,Australia,Android,25-34,Male,Organic,0
U00429,2025-04-09,USA,iOS,35-44,Other,Organic,1
U00430,2025-01-16,USA,Android,35-44,Male,Organic,0
U00431,2025-06-15,USA,iOS,35-44,Male,Referral,1
U00432,2025-02-06,Canada,Android,35-44,Male,Ads,0
U00433,2025-01-14,USA,Android,35-44,Female,Organic,1
U00434,2025-04-26,Australia,Android,25-34,Female,Organic,1
U00435,2025-01-14,USA,Android,25-34,Female,Ads,0
U00436,2025-05-12,UK,iOS,35-44,Male,Organic,0
U00437,2025-06-17,Australia,Android,18-24,Female,Referral,0
U00438,2025-02-15,USA,Android,25-34,Female,Referral,0
U00439,2025-03-20,Brazil,Android,45-54,Female,Organic,0
U00440,2025-01-24,Australia,Web,35-44,Male,Organic,0
U00441,2025-06-22,USA,Android,35-44,Female,Ads,0
U00442,2025-04-21,India,iOS,18-24,Female,Ads,0
U00443,2025-02-17,India,Android,18-24,Female,Organic,0
U00444,2025-04-23,UK,iOS,35-44,Male,Ads,0
U00445,2025-04-26,Germany,Android,18-24,Male,Organic,0
U00446,2025-01-08,India,iOS,35-44,Male,Ads,0
U00447,2025-05-01,USA,Web,25-34,Female,Ads,0
U00448,2025-01-16,USA,iOS,18-24,Female,Ads,1
U00449,2025-03-23,Germany,Android,18-24,Female,Organic,1
U00450,2025-05-08,India,Android,25-34,Female,Organic,0
U00451,2025-04-24,USA,Android,35-44,Male,Organic,1
U00452,2025-04-20,Brazil,Android,25-34,Male,Organic,0
U00453,2025-04-12,Brazil,Android,45-54,Female,Organic,0
U00454,2025-03-03,India,iOS,18-24,Male,Organic,0
U00455,2025-02-20,Brazil,Android,35-44,Other,Referral,1
U00456,2025-02-09,India,Android,45-54,Male,Organic,1
